shift [ppm],Intensity [au]
209.02106,-161.533
209.01377,-183.966
209.00648,-183.018
208.99919,-46.779
208.9919,-6.404
208.98461,78.87
208.97733,-99.446
208.97004,-9.93
208.96275,83.875
208.95546,-1.127
208.94817,-138.466
208.94088,123.838
208.93359,160.63
208.9263,75.98
208.91902,113.312
208.91173,-39.945
208.90444,-27.869
208.89715,-66.853
208.88986,-0.037
208.88257,61.432
208.87528,108.512
208.86799,39.71
208.86071,-24.366
208.85342,-1.474
208.84613,-157.405
208.83884,-128.887
208.83155,47.822
208.82426,19.946
208.81697,-56.727
208.80968,7.469
208.8024,57.799
208.79511,-64.685
208.78782,93.119
208.78053,166.055
208.77324,150.592
208.76595,92.232
208.75866,-127.911
208.75137,60.946
208.74409,48.422
208.7368,28.183
208.72951,95.243
208.72222,72.465
208.71493,84.096
208.70764,31.47
208.70035,-98.935
208.69306,-56.629
208.68578,77.595
208.67849,90.438
208.6712,236.452
208.66391,255.219
208.65662,163.127
208.64933,-47.445
208.64204,79.497
208.63476,43.449
208.62747,-45.269
208.62018,154.35
208.61289,-13.557
208.6056,-125.797
208.59831,-38.963
208.59102,-103.222
208.58373,-140.757
208.57645,-74.226
208.56916,-215.686
208.56187,-297.278
208.55458,-294.322
208.54729,-88.978
208.54,-3.971
208.53271,37.485
208.52542,213.944
208.51814,97.24
208.51085,171.355
208.50356,124.873
208.49627,117.641
208.48898,-29.79
208.48169,-32.079
208.4744,-128.542
208.46711,-27.714
208.45983,-98.583
208.45254,-4.112
208.44525,-10.737
208.43796,23.268
208.43067,-184.779
208.42338,-115.149
208.41609,54.892
208.4088,164.623
208.40152,-70.526
208.39423,-211.858
208.38694,-20.755
208.37965,-50.526
208.37236,-77.943
208.36507,-100.052
208.35778,-84.695
